,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2192.87668,2037.592865545316,7.081283497,2195.495722124744,0.12
00DSEX,6336.1479,5936.362927492825,6.309590288,6208.961969461005,2.01
BATBC,518.7,465.5958258557465,10.15627057,518.7,0.0
BBSCABLES,49.9,46.76588573927146,5.974101618,49.9,0.0
BEACONPHAR,245.0,336.77271324256424,37.07692968,286.1051822823265,16.78
BEXIMCO,115.6,100.34648404533928,13.19508301,115.6,0.0
BRACBANK,35.8,31.86547988970073,10.84742798,38.5,7.54
BSC,122.8,148.18337641515143,20.67050197,115.3613175198894,6.06
BSCCL,218.9,223.4465883620741,2.089085965,218.9,0.0
BSRMLTD,90.0,82.3456294969358,7.491366177,90.0,0.0
BXPHARMA,146.2,125.74908638257575,13.98831301,146.14869747191713,0.04
CITYBANK,21.4,19.31934486386561,9.592248342,21.8,1.87
DELTALIFE,153.2,112.80866650634653,26.24731939,136.5,10.9
FORTUNE,75.7,65.82267819691666,11.97323169,75.7,0.0
GP,286.6,258.35503686939387,9.792092422,286.6,0.0
GPHISPAT,44.8,40.60570014175774,9.003900259,44.8,0.0
IDLC,46.5,40.09633736629623,13.14738886,46.5,0.0
IFIC,11.2,9.29146893671806,16.89135871,11.5,2.68
ISLAMIBANK,32.6,33.43142581715939,2.538149094,33.0,1.23
LHBL,68.9,61.236241572941175,11.06944739,64.8,5.95
MPETROLEUM,200.1,198.05810360057052,1.020437981,198.6,0.75
OLYMPIC,150.5,108.72545086215496,27.75717551,124.03290505576612,17.59
ORIONPHARM,79.6,77.35018644609109,2.826398937,82.81081832644774,4.03
POWERGRID,52.4,47.81838648689771,7.61197181,52.4,0.0
RENATA,1217.9,1168.5603206956926,4.021924112,1217.9,0.0
ROBI,30.0,27.766980344170904,7.443398853,30.0,0.0
SEAPEARL,219.5,407.43095110636193,84.33163978,186.7,14.94
SOUTHEASTB,13.3,12.820644555262575,3.431030348,13.8,3.76
SQURPHARMA,209.8,206.41613828864095,1.612898814,209.8,0.0
TITASGAS,40.9,44.37601096470785,7.170558036,40.9,0.0
UNIQUEHRL,71.0,59.71338159473846,15.89664564,57.73523322884919,18.68
UPGDCL,233.7,225.42935499485495,3.328555067,233.7,0.0
