ticker,drift
ACB,-0.001496360412168816
BCM,0.001225287446808151
BID,0.0005139318354772136
BVH,-0.0004712975881102594
CTG,-0.0006061551168643961
FPT,-0.0004578895569309551
GAS,0.0003401244811458963
GVR,-0.0034636828154618856
HDB,-0.0023814269668766892
HPG,-0.0032512521689496226
MBB,-0.0017335312356651143
MSN,-0.0019711879526271726
MWG,-0.003669146706840384
NVL,-0.007069292369133807
PDR,-0.00720325717989414
PLX,-0.0019877876707646153
POW,-0.0017868285700750797
SAB,0.00040326643814102997
SSI,-0.0038079211723840317
STB,-0.0008987936345915042
TCB,-0.0023726349468241514
TPB,-0.0025238384155398448
VCB,0.0002271032517776749
VHM,-0.0020920989606890623
VIB,-0.003114198426751185
VIC,-0.002329662080015519
VJC,-0.0004276158540519962
VN30INDEX,-0.0016276613335256586
VNINDEX,-0.0015499268414400004
VNM,-0.0003715136163859166
VPB,-0.0022129248626950545
VRE,-0.0002687712949092391
