,,1 Week,,,2 Week,
,Actual Price,Predict Price,MAPE(%),Actual Price,Predict Price,MAPE(%)
00DS30,2191.51,2187.56,0.18,2199.05,2182.74,0.74
00DSEX,6192.31,6191.95,0.01,6215.05,6183.11,0.51
BATBC,518.7,516.12,0.5,518.7,514.49,0.81
BBSCABLES,49.9,49.73,0.34,49.9,49.61,0.57
BEACONPHAR,279.6,305.84,9.38,289.8,306.59,5.79
BEXIMCO,115.6,114.77,0.72,115.6,114.11,1.29
BRACBANK,38.5,38.14,0.95,38.5,37.9,1.57
BSC,114,117.59,3.15,126.1,118.53,6.01
BSCCL,218.9,219.29,0.18,218.9,219.39,0.22
BSRMLTD,90,89.59,0.46,90,89.34,0.74
BXPHARMA,146.2,145.07,0.77,146.3,144.2,1.44
CITYBANK,21.8,21.68,0.55,21.8,21.6,0.92
DELTALIFE,136.6,135.32,0.93,137,134.64,1.73
FORTUNE,75.7,75.21,0.65,75.7,74.88,1.08
GP,286.6,285.16,0.5,286.6,284.14,0.86
GPHISPAT,44.8,44.56,0.54,44.8,44.41,0.86
IDLC,46.5,46.18,0.69,46.5,45.95,1.18
IFIC,11.5,11.39,0.96,11.5,11.3,1.7
ISLAMIBANK,32.9,33.04,0.41,33,33.06,0.18
LHBL,64.8,64.56,0.37,64.8,64.47,0.5
MPETROLEUM,198.6,198.55,0.02,198.6,198.6,0
OLYMPIC,124,123.87,0.1,122.8,123.38,0.47
ORIONPHARM,81.2,82.53,1.64,85.9,82.32,4.16
POWERGRID,52.4,52.24,0.31,52.4,52.08,0.62
RENATA,1217.9,1215.99,0.16,1217.9,1214.06,0.32
ROBI,30,29.9,0.32,30,29.85,0.51
SEAPEARL,214,198.24,7.37,223,203.28,8.84
SOUTHEASTB,13.8,13.75,0.33,13.8,13.72,0.58
SQURPHARMA,209.8,209.7,0.05,209.8,209.54,0.12
TITASGAS,40.9,41.03,0.32,40.9,41.16,0.64
UNIQUEHRL,57,56.16,1.47,60.6,56.36,7
UPGDCL,233.7,233.35,0.15,233.7,233.13,0.24
