,1_week_actual,1_week_predict,1_week_mape,2_week_actual,2_week_predict,2_week_mape,3_week_actual,3_week_predict,3_week_mape,1_month_actual,1_month_predict,1_month_mape
ACB,23.45,21.72072218688433,7.374319032,25.3,21.503397925949585,15.00633231,26.05,21.29660917234406,18.24718168,24.65,21.020344891948827,14.72476717
BCM,82.0,80.43268553028963,1.911359109,83.5,80.80099407331461,3.232342427,84.8,81.1453369661792,4.309744144,84.5,81.58047638368447,3.455057534
BID,41.3,39.34102364451612,4.743284154,44.95,39.32875597913717,12.50554843,45.1,39.35204943810206,12.74490147,44.5,39.48932282675593,11.2599487
BVH,48.0,46.41052614333336,3.311403868,48.6,46.19472452823918,4.949126485,50.4,45.9793833784186,8.771064725,49.25,45.79736927501803,7.010417716
CTG,28.55,27.227633485995856,4.631756616,30.6,27.11458821629234,11.39023459,30.5,26.998340511507216,11.48085078,29.9,26.793697079078743,10.38897298
FPT,80.4,76.53910212056047,4.80211179,82.0,76.29791206113363,6.953765779,83.5,75.97748773305976,9.008996727,81.2,75.58785335962578,6.911510641
GAS,104.6,102.06187792676803,2.426502938,104.2,102.1749204039984,1.943454507,106.3,102.10706487021916,3.944435682,107.3,102.27145645664744,4.686433871
GVR,14.4,13.4628790634311,6.507784282,15.75,13.179052549944032,16.32347587,16.7,12.919828062827133,22.6357601,14.75,12.637696682707418,14.32070046
HDB,16.75,15.829575737391362,5.495070225,17.25,15.618644413015993,9.457133838,18.65,15.402738288808612,17.41159094,18.3,15.153008987124151,17.1966722
HPG,19.8,17.848885129673224,9.854115507,21.65,17.522296683217775,19.06560423,22.1,17.204117487603803,22.15331454,20.85,16.835939351040192,19.25208944
MBB,18.2,16.996828552723887,6.610832128,19.4,16.851749248280555,13.13531315,19.55,16.67186485441202,14.7219189,18.4,16.427004528554892,10.72280148
MSN,95.4,93.58870945126812,1.89862741,97.5,92.70238400853285,4.920631786,101.1,91.62866926435588,9.368279659,93.5,90.27920322778556,3.44470243
MWG,42.2,41.53253553600192,1.581669346,43.05,40.59466620973925,5.703446667,46.5,39.63904584995857,14.75474011,44.5,38.58705115417271,13.2875255
NVL,13.95,13.367734649181328,4.173945167,14.0,12.880358124853824,7.997441965,14.2,12.403028054124473,12.65473201,14.3,11.85639130500497,17.08817269
PDR,14.25,13.31377752251099,6.569982298,14.1,12.79386875134176,9.263342189,13.85,12.311164733642254,11.11072394,12.35,11.730838921200387,5.013450031
PLX,36.85,31.465177384419203,14.61281578,37.35,31.13102736284686,16.65052915,36.8,30.755466360003297,16.42536315,37.2,30.384518874773168,18.32118582
POW,11.7,10.491385508115798,10.33003839,12.15,10.385542201397527,14.52228641,12.4,10.275521338054672,17.13289244,12.25,10.153815747833171,17.11170818
SAB,176.1,171.381379471666,2.679511941,187.0,171.66944211404095,8.198159297,189.0,172.0888936396956,8.947675323,197.2,172.49738288579556,12.52668211
SSI,18.9,17.315339042897566,8.384449508,20.4,16.917497829146566,17.07108907,21.6,16.511026952079263,23.56006041,19.5,16.055707308946413,17.66303944
STB,24.95,22.352645569222464,10.4102382,26.55,22.155361010133724,16.55231258,27.1,21.95058313431345,19.00153825,25.0,21.78211056073802,12.87155776
TCB,27.45,25.34241911833209,7.677890279,29.0,24.970276110073183,13.89559962,29.4,24.63243014763502,16.21622399,27.85,24.21292498624428,13.05951531
TPB,22.5,20.690929302985797,8.040314209,23.0,20.423772284530024,11.20099007,25.0,20.14024913823832,19.43900345,24.6,19.80872572938961,19.47672468
VCB,87.3,80.22778947867306,8.10104298,89.4,80.25347322073948,10.23101429,91.9,80.32815636300451,12.59177762,94.2,80.40422881563539,14.64519234
VHM,49.75,47.27117105749027,4.982570739,52.0,46.80762240852378,9.985341522,50.9,46.30099994503416,9.035363566,46.6,45.69582825562493,1.940282713
VIB,21.15,18.58149608478154,12.14422655,22.9,18.25438223891508,20.28654044,23.55,17.90968562385215,23.95037952,23.2,17.490291616311342,24.610812
VIC,54.5,53.00779191025584,2.737996495,55.2,52.40021162482751,5.07208039,57.1,51.80045200065158,9.281169876,54.4,51.1016760281927,6.063095536
VJC,109.1,109.0991762946162,0.000755,110.6,108.81356232984923,1.615223933,116.3,108.35447219074936,6.83192417,108.0,107.92223430738116,0.072005271
VN30INDEX,1060.53,1000.2066066473814,5.688042144,1103.73,991.982476544179,10.12453439,1125.07,983.3947563932086,12.59257145,1073.38,973.0991389437996,9.342531168
VNINDEX,1053.35,1001.451275048682,4.927016182,1088.29,992.81751330351,8.77270642,1111.18,984.5030372238538,11.40021984,1072.22,974.471821069146,9.116429364
VNM,81.0,76.23513047984515,5.882554963,80.9,76.04330259253082,6.003334249,77.1,75.88379782091738,1.577434733,75.8,75.6846825174357,0.152133882
VPB,18.7,17.72195688328245,5.230177095,19.6,17.470707656085953,10.86373645,19.45,17.22883693664593,11.41986151,17.95,16.931211380953343,5.675702613
VRE,29.4,26.918356234110227,8.44096519,29.85,26.884104937127525,9.935996861,29.7,26.82587934114795,9.677173936,28.5,26.724166673350112,6.230994129
