,1_week,2_week,3_week,1_month,2_month,6_month,12_month
ACB,6.63,13.46,15.95,11.18,13.63,0.71,8.39
BCM,1.66,3.42,4.9,4.56,4.0,1.82,28.21
BID,6.32,13.93,14.22,13.06,18.81,10.75,10.86
BVH,2.92,4.12,7.55,5.39,5.77,5.66,17.97
CTG,4.59,10.98,10.69,8.9,7.35,7.66,0.52
FPT,4.31,6.18,7.86,5.25,4.55,10.54,19.94
GAS,2.93,2.56,4.49,5.38,4.93,9.17,34.48
GVR,4.17,12.38,17.37,6.44,8.91,28.87,34.91
HDB,4.77,7.53,14.47,12.83,13.78,14.24,21.42
HPG,9.09,16.86,18.55,13.67,15.09,31.17,35.6
MBB,6.12,11.93,12.61,7.14,4.01,15.42,8.39
MSN,2.59,4.69,8.08,0.61,15.01,23.58,38.7
MWG,1.66,0.35,7.74,3.6,7.25,0.92,0.23
NVL,2.6,2.96,4.33,5.0,24.07,8.52,20.32
PDR,4.49,3.48,1.74,10.2,13.41,18.99,51.13
PLX,13.91,15.06,13.79,14.72,18.65,15.06,8.04
POW,9.02,12.39,14.16,13.11,18.12,20.56,5.38
SAB,4.96,10.5,11.45,15.13,10.26,8.96,165.65
SSI,6.26,13.15,17.98,9.14,10.52,31.33,45.99
STB,9.84,15.27,16.99,10.02,15.11,24.51,19.52
TCB,5.9,10.93,12.14,7.25,7.08,20.15,18.77
TPB,6.29,8.33,15.66,14.29,13.94,17.14,21.18
VCB,8.46,10.61,13.04,15.16,14.07,20.08,0.48
VHM,3.5,7.67,5.68,3.02,13.23,12.71,11.13
VIB,10.12,16.99,19.28,18.06,10.33,3.26,3.01
VIC,1.25,2.5,5.74,1.07,1.55,5.53,20.67
VJC,0.36,1.0,5.86,1.38,7.55,16.11,1.38
VN30INDEX,5.23,8.94,10.66,6.36,4.3,10.51,11.17
VNINDEX,4.41,7.48,9.38,6.09,4.64,10.11,10.89
VNM,6.03,5.91,1.28,0.42,0.5,7.2,12.6
VPB,4.27,8.67,7.96,0.27,1.64,9.82,6.76
VRE,10.48,11.83,11.38,7.65,2.52,1.8,12.96
